post_location,warning_time_seconds,with_alert_screenshot,magnitude_on_alert_screenshot,distance_on_alert_screenshot_ml,alert_language,alert_screenshot_with_contour,user_approximate_location_on_alert,alert_type,alert_source,reply_sentiment,felt_shaking,alert_mode,post_alert_action,users_sentiment,users_emotion,helpfulness,system_improvement,alert_arrival_wrt_shaking,shaking_level,shaking_intensity_mmi,alert_received_by_others,indoor_vs_outdoor,user's_accompany,first_earthquake_alert_experience,user's_past_earthquake_experience,past_earthquake_damage_experience,user's_gender,alert_info_recall,aea_info_accuracy,technical_issues_with_alert,alert_info_clearance,reason_for_taking_no_action,future_trust_level,helpfulness_reason,aea_vs_others,reasoning,location_combined,warning_time_binned
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,POSITIVE,REASSURANCE,HELPFUL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['SAFETY_ADVICE'],UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,UNKNOWN,"The user emphasizes the importance of using earthquake alerts, stating that 'every second is a vital precaution'. They mention that there is an Android earthquake application on the phone, but they don't know which ones. The image shows the Android earthquake alert settings. The post expresses a positive sentiment and a belief in the usefulness of earthquake alerts. The post time was converted from EST to Istanbul time (EST+7).",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,POSITIVE,SURPRISE,HELPFUL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,['ALERT_SOURCE'],PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,AEA_ALERT_ARRIVED_EARLIER,"The user is comparing the speed of earthquake notifications on their Android phone (using AEA) to iPhones. The user is impressed by the speed of the Android notification. The post time was converted from EST to Istanbul time (EST+7). The user's name 'Kadir' is male. The user is surprised by the speed of the alert, which is a positive sentiment. The user finds the alert helpful because it is fast. The user trusts the system more because of the speed of the alert.",,
Istanbul,UNKNOWN,YES,6.1,1000.00%,Turkish,NO,NOT_APPLICABLE,TAKE_ACTION_ALERT,AEA,NOT_APPLICABLE,UNKNOWN,ALERT_WITH_SOUND,UNKNOWN,POSITIVE,UNKNOWN,HELPFUL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"['ESTIMATED_MAGNITUDE', 'ESTIMATED_DISTANCE']",PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,UNKNOWN,"The user states that Google reported the earthquake in Istanbul 30 seconds in advance. The screenshot shows a 'Deprem' (Earthquake) alert with a magnitude of 6.1 and a distance of 16 km (approximately 10 miles). The alert includes safety advice icons. The time of the post was converted from EST to Istanbul time (EST+7). The user's positive statement ('reported the earthquake in Istanbul 30 seconds in advance') indicates a positive sentiment and suggests the alert was helpful because it provided time to prepare. The alert mode is assumed to be with sound, as it's a 'Take Action' alert. The user is likely in Istanbul. The magnitude is 6.1. The distance is 10 miles. The alert language is Turkish. The alert type is TAKE_ACTION_ALERT.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,NEUTRAL,CONFUSION,NEUTRAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"The user is asking how the Google earthquake warning system works, indicating confusion or lack of understanding about the system. The post does not contain any information about the user's experience with the alert, so most fields are marked as 'UNKNOWN' or 'NOT_APPLICABLE'. The post time was converted from EST to Istanbul time (EST+7).",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,NEUTRAL,UNKNOWN,NEUTRAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,['ALERT_SOURCE'],PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,NEUTRAL,UNKNOWN,UNKNOWN,"The user describes the technical aspects of the Android Earthquake Alert system, mentioning the sensors in phones and how the network detects earthquake waves. There is no screenshot of an alert, and the user doesn't express a clear positive or negative sentiment about their personal experience with the system. The post time was converted from EST to Istanbul time (EST+7). The user's name 'Furkan' is male. The user is explaining the AEA system, therefore it is assumed that the alert source is AEA. The user seems to understand the system well, so the alert information is assumed to be clear to understand.",,
UNKNOWN,10,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,POSITIVE,UNKNOWN,HELPFUL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,[],PRECISE,UNKNOWN,UNKNOWN,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,UNKNOWN,The user states that the Android system gave about 10 seconds of warning before yesterday's earthquake. This indicates a positive sentiment and that the alert arrived before the shaking. The post time was converted from EST to Istanbul time (EST+7). The user's name 'Mustafa Barı_ Özdemir' is male. The user found the alert helpful because it provided time to prepare.,,5-15 sec
Konya,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,NEUTRAL,CONFUSION,NEUTRAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEUTRAL,UNKNOWN,UNKNOWN,"The post is a question about how the Google Android and iPhone earthquake warning system works and how to enable it. The post does not contain a screenshot of an alert, and the user does not express any personal experience with the system. The post time was converted from EST to Istanbul time (EST+7). The sentiment is neutral, and the user seems to be seeking information. The organization is a news outlet.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,NEGATIVE,CONFUSION,NOT_HELPFUL,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['UNKNOWN'],UNKNOWN,UNKNOWN,UNCLEAR,CONFUSION,WILL_TRUST_LESS,IT_ARRIVED_TOO_LATE_TO_BE_USEFUL,UNKNOWN,"The user mentions that the settings for the earthquake network are very complicated and that they were told to turn on the emergency alert system on Android phones. This suggests confusion and a negative sentiment towards the AEA system, implying it was not helpful. The user's confusion about the settings and the need to turn it on suggests the alert information was unclear, and they would trust the system less in the future. The post time was converted from EST to Istanbul time (EST+7).",,
Istanbul,UNKNOWN,YES,6.1,4000.00%,UNKNOWN,NO,NOT_APPLICABLE,TAKE_ACTION_ALERT,AEA,NOT_APPLICABLE,UNKNOWN,ALERT_WITH_SOUND,DROP_COVER_HOLD_ON,NEUTRAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"['ESTIMATED_MAGNITUDE', 'ESTIMATED_DISTANCE']",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"The post discusses how to turn on the Android Earthquake Warning System after a 6.2 magnitude earthquake on April 23, 2025. The screenshot shows an alert with an estimated magnitude of 6.1 and a distance of 40 miles. The alert type is likely TAKE_ACTION_ALERT because of the 'Drop, Cover, Hold On' instruction. The post time was converted from EST to Istanbul time (EST+7).",,
UNKNOWN,60,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,POSITIVE,REASSURANCE,HELPFUL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_FEMALE,['ALERT_SOURCE'],PRECISE,UNKNOWN,UNKNOWN,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,UNKNOWN,"The user states that Android and Apple applications provide the alert for free and that it gave a warning 1 minute before the earthquake. This suggests a positive sentiment and that the alert was helpful because it arrived before the shaking. The post time was converted from EST to Istanbul time (EST+7). The user's name 'Gülçin' is female. The user is likely referring to the AEA system, even though they don't explicitly name it. The user's statement 'Don't waste your money' implies they are comparing it to paid earthquake warning systems or apps.",,60-120 sec
UNKNOWN,15-20,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,POSITIVE,SURPRISE,HELPFUL,UNKNOWN,BEFORE SHAKING,WEAK,MMI III,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['ALERT_SOURCE'],PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,AEA_ALERT_ARRIVED_EARLIER,"The user compares the Android Earthquake Alert system to a generic 'application' that only provides information after the shaking is felt. The user explicitly states that the Android system provides a warning 15-20 seconds in advance, indicating a positive sentiment and that the alert arrived before the shaking. The user expresses surprise at the system's effectiveness ('if you're lucky'). The post time was converted from EST to Istanbul time (EST+7). The user felt a tremor, which implies weak shaking. The user implicitly trusts the system more for future events.",,
Istanbul,UNKNOWN,YES,5.6,12117.00%,Turkish,NO,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,POSITIVE,REASSURANCE,HELPFUL,UNKNOWN,BEFORE SHAKING,WEAK,MMI III,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,"['ESTIMATED_MAGNITUDE', 'ESTIMATED_DISTANCE']",PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,UNKNOWN,"The user states that the notification was sent seconds before the earthquake in Istanbul. The screenshot shows the alert message in Turkish, indicating a magnitude of 5.6 and a distance of approximately 195.9 km (121.17 miles). The alert mentions 'Hafif sarsıntı bekleniyor', which translates to 'Light shaking is expected', suggesting a weak shaking level and an MMI of 3. The user's overall sentiment is positive, indicating that the alert was helpful. The time was converted from EST to Istanbul time (EST+7).",,
Denizli,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,NEGATIVE,ANNOYANCE,NOT_HELPFUL,YES,AFTER SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],INACCURATE,ALERT_NOT_APPEARING_WHEN_EXPECTED,UNKNOWN,REASON_UNSPECIFIED,WILL_TRUST_LESS,IT_ARRIVED_TOO_LATE_TO_BE_USEFUL,AEA_ALERT_ARRIVED_LATER,"The user reports that Android (AEA) did not provide a warning for an earthquake in Denizli, while another application did. This indicates a negative sentiment and suggests the AEA system was not helpful in this instance. The post time was converted from EST to Istanbul time (EST+7). The user felt the shaking but did not receive an alert from AEA, implying the alert arrived after the shaking or not at all. This leads to a 'WILL_TRUST_LESS' assessment for future trust and 'IT_ARRIVED_TOO_LATE_TO_BE_USEFUL' as the reason for unhelpfulness. The user is comparing AEA to another application, indicating AEA arrived later. Since the user felt the earthquake, the alert arrived after the shaking.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,POSITIVE,UNKNOWN,HELPFUL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['ALERT_SOURCE'],PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,WILL_TRUST_MORE,CONFIRMED_IT_WAS_AN_EARTHQUAKE,UNKNOWN,"The user expresses a positive sentiment towards Google Android's earthquake alert system, stating it's the 'only prof on this subject'. This implies they found it helpful and accurate. The post time was converted from EST to Istanbul time (EST+7). The user's statement suggests they trust the system and find it more reliable than other sources. The user did not provide a screenshot of the alert.",,
Kadıköy,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,UNKNOWN,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,POSITIVE,UNKNOWN,HELPFUL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,['UNKNOWN'],PRECISE,UNKNOWN,UNKNOWN,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,AEA_ALERT_ARRIVED_EARLIER,"The user mentions that Android phones provided earthquake information seconds before the earthquake, while iOS devices did not. This implies the AEA system worked and provided a warning before the shaking. The user's location is Kadıköy. The post time was converted from EST to Istanbul time (EST+7). The user's name 'Mert' is male. The user is comparing Android phones with iOS phones. The user's statement that Android phones gave earthquake information seconds before implies that the alert was helpful because it provided time to prepare.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,POSITIVE,REASSURANCE,HELPFUL,NO,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,['ALERT_SOURCE'],PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,DEEMED_UNNECESSARY,WILL_TRUST_MORE,CONFIRMED_IT_WAS_AN_EARTHQUAKE,UNKNOWN,"The user is saying that you don't need to purchase an app, just turn on the Android earthquake alert. This implies a positive sentiment towards the AEA system. The post time was converted from EST to Istanbul time (EST+7). The user's name 'Barbaros' is male. The user is likely reassuring others that the built-in Android feature is sufficient, suggesting they found it helpful and accurate. The user is suggesting that no action is needed other than turning on the alert, implying that the alert is helpful and accurate.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,NEUTRAL,UNKNOWN,NEUTRAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['SAFETY_ADVICE'],UNKNOWN,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"The user is providing instructions on how to enable earthquake notifications on Android and iOS devices. This suggests they are aware of the AEA system and are trying to help others enable it. The post is neutral in sentiment, as it's purely informational. The post time was converted from EST to Istanbul time (EST+7).",,
UNKNOWN,120,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,ALERT_WITH_SOUND,UNKNOWN,NEGATIVE,ANNOYANCE,NOT_HELPFUL,YES,AFTER SHAKING,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,FEMALE,UNKNOWN,INACCURATE,ALERT_NOT_APPEARING_WHEN_EXPECTED,UNKNOWN,NO_TIME,WILL_TRUST_LESS,IT_ARRIVED_TOO_LATE_TO_BE_USEFUL,AEA_ALERT_ARRIVED_LATER,"The user is comparing the Android earthquake alert system to the alert system on their iPhone. They state that Android phones received the alert 2 minutes *before* the earthquake, while their iPhone received an alarm 15 minutes *after* the earthquake. This indicates a negative sentiment and that the alert was not helpful because it arrived too late. The post time was converted from EST to Istanbul time (EST+7). The user's profile picture suggests she is female. The user is comparing the AEA to the iPhone alert system, and found the AEA to be better. The user is annoyed that the alert arrived so late.",,>120 sec
UNKNOWN,21,YES,4.6,4160.00%,Turkish,NO,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,POSITIVE,UNKNOWN,HELPFUL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,['ESTIMATED_MAGNITUDE'],PRECISE,UNKNOWN,UNKNOWN,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,AEA_ALERT_ARRIVED_EARLIER,"The user compares AEA to another earthquake app, stating AEA sent the alert 21 seconds before the earthquake, while the other app sent it 15 seconds before. This indicates a positive sentiment and that the alert was helpful because it provided time to prepare. The screenshot is from the other app, not AEA, so alert details are unknown. The post time is estimated based on the earthquake time in the screenshot. The user's name suggests they are male. The distance was converted from km to miles (67km ≈ 41.6 miles).",,15-30 sec
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,NEGATIVE,ANNOYANCE,NOT_HELPFUL,YES,AFTER SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,[],INACCURATE,ALERT_NOT_APPEARING_WHEN_EXPECTED,UNKNOWN,NO_TIME,WILL_TRUST_LESS,IT_ARRIVED_TOO_LATE_TO_BE_USEFUL,UNKNOWN,"The user expresses negative sentiment, stating that the Android alert system 'doesn't work as efficiently as Android' and 'gives a warning after an earthquake'. This indicates that the alert arrived after the shaking had already occurred, making it unhelpful. The post time was converted from EST to Istanbul time (EST+7).",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,POSITIVE,SURPRISE,HELPFUL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['ALERT_SOURCE'],PRECISE,UNKNOWN,UNKNOWN,UNKNOWN,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,UNKNOWN,"The user states that Android sent them an earthquake warning in advance, and then the earthquake happened suddenly. The user congratulates the system, indicating a positive sentiment. The post time was converted from EST to Istanbul time (EST+7). The user felt the shaking and received the alert before the shaking. The user found the alert helpful because it was sent in advance. The user trusts the system more because of this experience.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,UNKNOWN,UNKNOWN,AEA,CONFIRMATION_OF_POSITIVE_POST,FELT SHAKING,UNKNOWN,UNKNOWN,POSITIVE,SURPRISE,HELPFUL,UNKNOWN,DURING SHAKING,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['ALERT_SOURCE'],PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,WILL_TRUST_MORE,CONFIRMED_IT_WAS_AN_EARTHQUAKE,UNKNOWN,"The user describes the Android earthquake warning system as actively working for hundreds of thousands of people. They mention that during an earthquake, two waves come from the ground, the first being a warning and the second being the earthquake wave. The system detects the first wave and sends a notification to the phone. The post expresses a positive sentiment and suggests the user found the alert helpful. The post time was converted from EST to Istanbul time (EST+7). The user felt the shaking and received the alert during the shaking. The user's description implies that the alert was accurate in predicting the earthquake. The reply to the post expresses surprise and admiration for the technology, further supporting the positive sentiment.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,POSITIVE,UNKNOWN,HELPFUL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['ALERT_SOURCE'],PRECISE,UNKNOWN,UNKNOWN,UNKNOWN,WILL_TRUST_MORE,CONFIRMED_IT_WAS_AN_EARTHQUAKE,UNKNOWN,The user states that the 'earthquake warning system built into your Android phone work very well'. The user is comparing the Android system to the 'earthquake network' app. The user is positive about the Android system. The post time is estimated based on the screenshot time (EST+7).,,
UNKNOWN,UNKNOWN,YES,5.8,17220.00%,Turkish,NO,NOT_APPLICABLE,BE AWARE,AEA,CONFIRMATION_OF_POSITIVE_POST,UNKNOWN,UNKNOWN,UNKNOWN,POSITIVE,SURPRISE,HELPFUL,NO,BEFORE SHAKING,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,"['ESTIMATED_MAGNITUDE', 'ESTIMATED_DISTANCE']",PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,UNKNOWN,WILL_TRUST_MORE,CONFIRMED_IT_WAS_AN_EARTHQUAKE,AEA_ALERT_ARRIVED_EARLIER,"The user expresses surprise and positive sentiment about Android phones sending earthquake alerts before the earthquake. The user also mentions that iPhone users are still using apps, implying that the Android system is superior. The replies confirm the user's positive experience, with others asking how to enable the feature and confirming they received alerts as well. The distance was converted from km to miles (277.1 km ≈ 172.2 miles). The post time was converted from EST to Istanbul time (EST+7).",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,NEUTRAL,UNKNOWN,NEUTRAL,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['ALERT_SOURCE'],UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,NEUTRAL,UNKNOWN,UNKNOWN,"The user compares the Android Earthquake Warning System with the Apple Emergency Warning System, stating they are essentially the same. The user doesn't provide any personal experience with the alert, a screenshot, or details about the earthquake. The post time was converted from EST to Istanbul time (EST+7). The user's sentiment is neutral as they are simply making a comparison. The user does not express any specific emotions or opinions about the helpfulness of the alert system. The user's comment about location services being turned off suggests a potential reason for delayed alerts, but this is a general observation, not a personal experience. The user's trust level is neutral as they don't express increased or decreased trust in the system.",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,NEUTRAL,SURPRISE,NOT_HELPFUL,UNKNOWN,AFTER SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['ALERT_SOURCE'],PRECISE,UNKNOWN,UNKNOWN,NO_TIME,UNKNOWN,IT_ARRIVED_TOO_LATE_TO_BE_USEFUL,AEA_ALERT_ARRIVED_LATER,"The user states that they received a notification on their Android phone, but the earthquake occurred 10 seconds later. This indicates that the alert arrived after the shaking. The user also mentions that they did not receive a notification on their Apple phone. The post time was converted from EST to Istanbul time (EST+7).",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,UNKNOWN,UNKNOWN,UNKNOWN,NEUTRAL,UNKNOWN,NEUTRAL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY_MALE,['ALERT_SOURCE'],PRECISE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"The user discusses Google's AEA system in comparison to USGS and Japan's J-Alert, stating that Google's system warns people seconds before the earthquake. The post is informative and neutral in sentiment. The post time was converted from EST to Istanbul time (EST+7). The user mentions that the system warns seconds before the earthquake, but does not specify how many seconds. The user does not provide a screenshot of the alert, so many fields are marked as 'UNKNOWN'. The user's name 'Cem' is male.",,
UNKNOWN,10-May,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,UNKNOWN,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,ALERT_WITH_SOUND,PASSIVE_AWARE,POSITIVE,REASSURANCE,HELPFUL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,['SAFETY_ADVICE'],PRECISE,UNKNOWN,CLEAR_TO_UNDERSTAND,DEEMED_UNNECESSARY,WILL_TRUST_MORE,PROVIDED_TIME_TO_PREPARE,UNKNOWN,"The user describes receiving a notification as soon as they felt the P-wave, indicating the alert arrived before the destructive wave. They mention being informed 5-10 seconds in advance, suggesting a positive experience and increased trust in the system. The user also mentions that the leading wave is not destructive, then the destructive wave starts, which is a safety advice. The post time was converted from EST to Istanbul time (EST+7).",,
UNKNOWN,UNKNOWN,NO,,UNKNOWN,UNKNOWN,NOT_APPLICABLE,NOT_APPLICABLE,UNKNOWN,AEA,NOT_APPLICABLE,FELT SHAKING,UNKNOWN,UNKNOWN,NEUTRAL,SURPRISE,NEUTRAL,UNKNOWN,BEFORE SHAKING,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,YES,UNKNOWN,UNKNOWN,FEMALE,[],PRECISE,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,The user states that their Android phone gave a warning and then the earthquake happened. This indicates that the alert arrived before the shaking. The user expresses surprise. The post does not contain a screenshot or any specific details about the alert itself. The user's profile picture suggests the user is female. The user indicates it was the first time they received an alert.,,
